code,film,revenue,budget,language,popularity,runtime,vote.average,vote.count,id,tagline,release.date,genres,certification,month_release,year_release,lustrum,log_popularity,log_revenue,time,name
80,GoodFellas,46836394,25000000,en,23.776,145,8.4,6781,769,Three Decades of Life in the Mafia.,1990-Sep-12,"[18, 80]",R,September,1990,1990-1995,3.16867666853535,17.6621711082478,genre2,Crime
80,Hard Boiled,,4500000,cn,8.41,126,7.6,344,11782,"As a cop, he has brains, brawn, and an instinct to kill.",1992-Apr-16,"[28, 80, 53]",R,April,1992,1990-1995,2.12942147398486,-Inf,genre2,Crime
80,Bulletproof,22611954,25000000,en,7.864,84,5.5,283,10723,Tough cop. Hostile witness.,1996-Sep-06,"[35, 80]",R,September,1996,1995-2000,2.06229538284487,16.9339892624572,genre2,Crime
80,Young Guns,44726644,13000000,en,9.136,107,6.7,485,11967,Six reasons why the west was wild.,1988-Aug-12,"[28, 12, 80, 18, 37]",R,August,1988,1985-1990,2.21222265291365,17.6160799446488,genre3,Crime
80,Knock on Wood,,,fr,6.453,81,7.1,296,19123,"",1981-Mar-01,"[35, 80, 12]","",March,1981,1980-1985,1.8645451389537,-Inf,genre2,Crime
80,High Crimes,63781810,42000000,en,10.255,115,6.2,395,11560,Everything you trust. Everything you know. May be a lie...,2002-Apr-05,"[18, 9648, 53, 80]",PG-13,April,2002,2000-2005,2.32776539152434,17.9709785979457,genre4,Crime
80,Kick-Ass,96188903,28000000,en,14.205,117,7.1,8289,23483,Shut up. Kick ass.,2010-Mar-22,"[28, 80]",R,March,2010,2010-2015,2.65359401530615,18.3818245555519,genre2,Crime
80,Fear Over the City,,,fr,4.697,125,7.4,99,40180,"",1975-Apr-09,"[28, 80, 18, 53]","",April,1975,1975-1980,1.54692400704486,-Inf,genre2,Crime
80,"See No Evil, Hear No Evil",46908987,18000000,en,8.999,103,6.7,500,11185,MURDER! The blind guy couldn't see it. The deaf guy couldn't hear it. Now they're both wanted for it.,1989-May-12,"[35, 80]",R,May,1989,1985-1990,2.19711346005181,17.6637198355287,genre2,Crime
80,U.S. Marshals,102367405,60000000,en,9.693,131,6.4,827,11808,The cop who won't stop is back. But this time he's chasing down a lot more than a fugitive.,1998-Mar-06,"[28, 80, 53]",PG-13,March,1998,1995-2000,2.27140397551047,18.4440789093513,genre2,Crime
80,Joker,1074151311,55000000,en,86.981,122,8.2,9743,475557,Put on a happy face.,2019-Oct-02,"[80, 18, 53]",R,October,2019,2015-2020,4.46568970399924,20.7947967085845,genre1,Crime
80,Police Academy 3: Back in Training,43579163,,en,9.396,83,5.7,630,12118,Run for cover!,1986-Mar-20,"[35, 80]",PG,March,1986,1985-1990,2.24028406679667,17.5900896812385,genre2,Crime
80,The Usual Suspects,23341568,6000000,en,16.922,106,8.2,6342,629,Five Criminals. One Line Up. No Coincidence.,1995-Jul-19,"[18, 80, 53]",R,July,1995,1995-2000,2.82861455050231,16.9657463633716,genre2,Crime
80,The Taking of Pelham One Two Three,,,en,6.515,104,7.5,216,8333,We are going to kill one passenger a minute until New York City pays us 1 million dollars.,1974-Oct-02,"[28, 80, 53]",R,October,1974,1970-1975,1.87410721057681,-Inf,genre2,Crime
80,Jigsaw,102952888,10000000,en,12.698,92,6.1,2166,298250,A New Game Begins.,2017-Oct-26,"[80, 27, 9648, 53]",R,October,2017,2015-2020,2.54144450074826,18.4497820434973,genre1,Crime
80,The Parallax View,,,en,5.19,102,6.9,116,17365,As American as apple pie,1974-Jun-14,"[80, 18, 53]",R,June,1974,1970-1975,1.6467336971778,-Inf,genre1,Crime
80,Chappie,104399548,49000000,en,25.393,120,6.7,5440,198184,I am consciousness. I am alive. I am Chappie.,2015-Mar-04,"[28, 80, 878]",R,March,2015,2015-2020,3.23447354549126,18.4637359039015,genre2,Crime
80,Sleepers,165615285,44000000,en,12.01,147,7.5,1624,819,When friendship runs deeper than blood,1996-Oct-18,"[80, 18, 53]",R,October,1996,1995-2000,2.48573963609189,18.9251780963806,genre1,Crime
